punt,prop,verbinding,uitWolk,bron,doel,gewicht,numGradA,numGradB,angNieuw,angOud
begin prop=2,2,53,1,work,out,0.091772862,2.3525302,2.2705578,1.0524905,1.0490639
begin prop=2,2,54,1,work,work,-0.14285955,0.30923808,0.63535952,0.0024445279,0.0015799783
begin prop=2,2,55,1,work,work,-0.061022043,0.76913966,0.99345192,0.00091442091,0.00044393255
begin prop=2,2,56,1,work,out,0.22709741,-1.7250695,-1.6673124,-0.84268098,-0.84653982
begin prop=2,2,57,1,work,out,-0.20225607,2.0515119,1.9291924,0.83948017,0.84017527
begin prop=2,2,58,1,work,out,-0.017057631,-2.8518484,-2.9769945,-1.3369481,-1.3410256
begin prop=2,2,59,1,work,out,0.13874808,3.1801224,2.7904718,1.3303276,1.3339860
begin prop=2,2,60,1,work,work,-0.086066589,0.0057532088,-0.099000337,-0.00088289015,-0.00082267366
begin prop=2,2,61,1,work,work,-0.0018309705,0.83558134,0.83487343,-0.00051140121,-0.00060553558
begin prop=2,2,62,1,work,out,0.20477124,0.20308157,-0.047155933,0.20796875,0.20792608
begin prop=2,2,63,1,work,out,-0.048206784,-0.22477152,-0.0098716395,-0.21965726,-0.21316155
begin prop=2,2,64,1,work,out,0.032294936,-2.5156377,-2.3715624,-1.1253678,-1.1268083
begin prop=2,2,65,1,work,out,-0.012664281,2.1433424,2.4930615,1.1277046,1.1278049
begin prop=2,2,66,1,work,work,0.10351161,0.0042957642,-0.067850089,-0.00096533286,-0.0011993019
begin prop=2,2,67,1,work,work,0.24514481,0.55374098,0.22301375,-0.0014255289,-0.00091715188
begin prop=2,2,68,1,work,out,-0.22479501,0.94812788,0.99719979,0.39541214,0.39423613
begin prop=2,2,69,1,work,out,0.099963076,-0.66660082,-0.86217088,-0.39241312,-0.39173056
begin prop=2,2,70,1,work,out,0.075942725,-0.95437018,-0.85520865,-0.47442812,-0.47526742
begin prop=2,2,71,1,work,work,0.026025189,0.082493519,0.030317503,0.00044138773,0.00024569628
begin prop=2,2,72,1,work,work,0.032619290,0.21794934,0.45664815,0.00046502392,0.00038252196
begin prop=2,2,73,1,work,work,-0.13451952,0.38440718,0.42835482,0.00062165561,0.00038296392
